'MaxStringsFilters:Equalizer 12 Band Out #2','MaxStringsFilters:Multiband Compressor In #2'
'yoshimi-YoshSRO1:right','Mixer-General (Inputs):SRO/in-2'
'yoshimi-YoshSRO1:left','Mixer-General (Inputs):SRO/in-1'
'Distribute.py:FlowBells','yoshimi-YoshFlowBells:midi in'
'Distribute.py:SRO','yoshimi-YoshSRO3:midi in'
'Distribute.py:SRO','yoshimi-YoshSRO2:midi in'
'Distribute.py:SRO','yoshimi-YoshSRO1:midi in'
'Distribute.py:Strings','StringsSSO:Fluidsynth MIDI In'
'MaxStringsFilters:Equalizer 12 Band Out #1','MaxStringsFilters:Multiband Compressor In #1'
'CalfSRO:Equalizer 12 Band Out #2','CalfSRO:Multiband Compressor In #2'
'CalfSRO:Equalizer 12 Band Out #1','CalfSRO:Multiband Compressor In #1'
'Distribute.py:Strings','StringsBassAdd:Fluidsynth (3) MIDI In'
'Distribute.py:Strings','StringsBassAdd:Fluidsynth (2) MIDI In'
'Distribute.py:Strings','StringsBassAdd:Fluidsynth MIDI In'
'yoshimi-YoshSRO2:left','Mixer-General (Inputs):SRO/in-1'
'yoshimi-YoshSRO2:right','Mixer-General (Inputs):SRO/in-2'
'yoshimi-YoshSRO3:left','Mixer-General (Inputs):SRO/in-1'
'yoshimi-YoshSRO3:right','Mixer-General (Inputs):SRO/in-2'
'StringsSSO:Fluidsynth Out #1','Mixer-General (Inputs):Strings/in-1'
'StringsSSO:Fluidsynth Out #2','Mixer-General (Inputs):Strings/in-2'
'StringsBassAdd:Fluidsynth Out #1','Mixer-General (Inputs):Strings/in-1'
'StringsBassAdd:Fluidsynth Out #2','Mixer-General (Inputs):Strings/in-2'
'StringsBassAdd:Fluidsynth (2) Out #1','Mixer-General (Inputs):Strings/in-1'
'StringsBassAdd:Fluidsynth (2) Out #2','Mixer-General (Inputs):Strings/in-2'
'StringsBassAdd:Fluidsynth (3) Out #1','Mixer-General (Inputs):Strings/in-1'
'StringsBassAdd:Fluidsynth (3) Out #2','Mixer-General (Inputs):Strings/in-2'
'yoshimi-YoshFlowBells:left','Mixer-General (Inputs):FlowBells/in-1'
'yoshimi-YoshFlowBells:right','Mixer-General (Inputs):FlowBells/in-2'
'Mixer-General (Inputs):SRO/out-1','CalfSRO:Equalizer 12 Band In #1'
'Mixer-General (Inputs):SRO/out-2','CalfSRO:Equalizer 12 Band In #2'
'Mixer-General (Inputs):Strings/out-1','MaxStringsFilters:Equalizer 12 Band In #1'
'Mixer-General (Inputs):Strings/out-2','MaxStringsFilters:Equalizer 12 Band In #2'
'CalfSRO:Multiband Compressor Out #1','Mixer-General (Outputs):CleanOutput/in-1'
'CalfSRO:Multiband Compressor Out #2','Mixer-General (Outputs):CleanOutput/in-2'
'MaxStringsFilters:Multiband Compressor Out #1','Mixer-General (Outputs):CleanOutput/in-1'
'MaxStringsFilters:Multiband Compressor Out #2','Mixer-General (Outputs):CleanOutput/in-2'
'Mixer-General (Inputs):FlowBells/out-1','Mixer-General (Outputs):CleanOutput/in-1'
'Mixer-General (Inputs):FlowBells/out-2','Mixer-General (Outputs):CleanOutput/in-2'
'Mixer-General (Outputs):CleanOutput/out-1','BNR-STD-Reverb:Reverb In #1'
'Mixer-General (Outputs):CleanOutput/out-2','BNR-STD-Reverb:Reverb In #2'
'BNR-STD-Reverb:Reverb Out #1','alsa_output.usb-Focusrite_Scarlett_Solo_USB_Y7TH7C30BB03D6-00.analog-stereo:playback_FL'
'BNR-STD-Reverb:Reverb Out #2','alsa_output.usb-Focusrite_Scarlett_Solo_USB_Y7TH7C30BB03D6-00.analog-stereo:playback_FR'
